date,rms,median,mean
2012-12-10 23:00:00,1.190635,44.878315,44.899420
2012-12-11 23:00:00,1.878834,46.191257,46.047395
2012-12-13 23:00:00,1.383039,45.072000,44.681588
2012-12-14 23:00:00,1.768336,42.241049,42.714386
2012-12-15 23:00:00,1.465674,44.824271,44.583768
2012-12-16 23:00:00,1.324406,44.243490,44.022597
2012-12-17 23:00:00,1.290461,44.099862,43.867677
2012-12-18 23:00:00,1.187439,44.486196,44.348567
2012-12-19 23:00:00,1.974020,43.906492,43.517168
2012-12-20 23:00:00,2.261590,43.849895,43.496408
2012-12-21 23:00:00,0.970974,43.995387,44.157699
2012-12-22 23:00:00,1.695445,44.594142,44.043684
2012-12-23 23:00:00,2.285153,41.270961,42.542192
2013-01-02 23:00:00,1.447236,43.049291,42.748188
2013-01-03 23:00:00,2.240054,43.809140,43.146749
2013-01-04 23:00:00,1.784523,44.465837,44.648814
2012-11-18 23:00:00,2.719671,41.700000,42.396734
2012-12-04 23:00:00,1.616123,44.298230,43.794984
2012-12-05 23:00:00,1.055728,42.901170,42.928807
2012-12-06 23:00:00,1.008910,41.394077,41.318468
2013-01-07 23:00:00,1.709539,44.423598,43.925436
2013-01-08 23:00:00,1.916571,43.585668,43.778478
2013-01-09 23:00:00,1.308792,43.928411,43.906665
2013-01-10 23:00:00,1.694405,44.143175,43.642511
2013-01-11 23:00:00,1.651686,43.711307,43.485529
2013-01-12 23:00:00,1.236748,43.954846,43.508690
2013-01-14 23:00:00,1.430424,43.697229,43.602514
2013-02-04 23:00:00,2.453464,44.165230,43.539627
2013-02-05 23:00:00,1.964997,43.918116,43.559343
2013-02-06 23:00:00,1.640462,43.656956,43.549277
2013-02-08 23:00:00,1.353453,43.902916,43.900935
2013-02-09 23:00:00,1.464493,43.837145,43.889313
2013-02-10 23:00:00,1.433913,43.231481,42.869836
2013-01-31 23:00:00,1.982715,43.512626,43.308145
2013-02-01 23:00:00,1.629670,43.357257,43.110986
2013-02-02 23:00:00,1.276942,43.783820,43.634722
2013-02-03 23:00:00,1.409719,42.628965,42.265739
2013-02-07 23:00:00,1.629835,44.166502,44.011649
2013-02-11 23:00:00,1.238602,42.932243,42.735090
2013-02-12 23:00:00,0.494329,44.205263,44.074731
2013-02-13 23:00:00,1.956063,43.778386,43.075543
2013-02-14 23:00:00,1.521667,43.420765,43.295750
2013-02-15 23:00:00,1.146193,43.800863,43.636003
2013-02-16 23:00:00,1.346361,43.453382,43.229274
2013-02-17 23:00:00,1.665072,43.895617,43.665436
2013-02-19 23:00:00,1.535796,43.570657,43.057754
2013-02-20 23:00:00,2.113802,39.326923,40.061322
2013-02-21 23:00:00,1.676027,40.128926,40.620944
2013-02-22 23:00:00,1.855351,38.843718,39.534716
2013-02-27 23:00:00,2.590441,41.609277,42.328744
2013-02-28 23:00:00,1.886551,42.855136,42.907614
2013-03-01 23:00:00,1.864288,43.932325,43.544871
2013-03-02 23:00:00,2.150874,43.421687,42.568789
2013-03-08 23:00:00,1.513429,44.387628,43.768881
2013-03-09 23:00:00,1.271032,43.691536,43.235789
2013-03-10 23:00:00,1.445698,42.654891,42.697436
2013-03-11 23:00:00,1.543296,41.098120,41.286457
2013-03-12 23:00:00,0.774486,43.450056,43.366291
2013-03-13 23:00:00,2.215349,49.980712,49.665283
2013-03-14 23:00:00,2.065708,50.419705,49.690142
2013-03-17 23:00:00,1.576136,49.922515,49.690753
2013-03-18 23:00:00,1.432642,49.995200,49.790191
2013-03-19 23:00:00,1.366569,48.832168,48.811058
2013-03-20 23:00:00,1.299226,49.809708,49.777519
2013-03-22 23:00:00,2.226180,45.285351,46.417300
2013-03-23 23:00:00,2.460033,49.027589,47.975725
2013-03-24 23:00:00,2.225817,47.756726,47.064094
2013-03-28 23:00:00,2.012784,48.313301,47.940912
2013-03-29 23:00:00,2.092131,48.933007,48.627605
2013-03-30 23:00:00,1.592217,49.064045,48.796404
2013-03-31 22:00:00,1.294357,48.867107,48.677060
2013-04-01 22:00:00,1.359602,49.007800,48.677719
2013-04-05 22:00:00,1.972687,48.232470,48.027848
2013-04-06 22:00:00,2.030700,49.429590,48.783690
2013-04-07 22:00:00,1.428785,48.871925,48.782342
2013-04-08 22:00:00,1.316179,48.466015,48.303293
2013-04-09 22:00:00,1.895484,48.110437,47.981347
2013-04-10 22:00:00,1.534082,48.631070,48.430610
